"fiscal_year","series_id","n_months","start_date","end_date","index_value","lag_value","escalation_rate","base_year_value","normalized_index","raw_index","forecast_type","confidence_lower","confidence_upper","export_date","cape_version","analyst","meta_series_id","meta_series_name","meta_base_year","meta_forecast_method","meta_forecast_rate"
2010,"PCU3364133641",12,2009-10-01,2010-09-01,204.9,NA,NA,278.389,73.6020460578543,204.9,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2011,"PCU3364133641",12,2010-10-01,2011-09-01,212.3,204.9,3.61151781356759,278.389,76.2601970623839,212.3,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2012,"PCU3364133641",12,2011-10-01,2012-09-01,216.6,212.3,2.02543570419218,278.389,77.8047983217728,216.6,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2013,"PCU3364133641",12,2012-10-01,2013-09-01,219.6,216.6,1.38504155124655,278.389,78.8824271073929,219.6,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2014,"PCU3364133641",12,2013-10-01,2014-09-01,223.1,219.6,1.59380692167577,278.389,80.1396606906164,223.1,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2015,"PCU3364133641",12,2014-10-01,2015-09-01,224.3,223.1,0.537875392200804,278.389,80.5707122048644,224.3,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2016,"PCU3364133641",12,2015-10-01,2016-09-01,228.1,224.3,1.6941596076683,278.389,81.9357086666499,228.1,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2017,"PCU3364133641",12,2016-10-01,2017-09-01,231,228.1,1.27137220517317,278.389,82.9774164927494,231,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2018,"PCU3364133641",12,2017-10-01,2018-09-01,235.2,231,1.81818181818181,278.389,84.4860967926175,235.2,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2019,"PCU3364133641",12,2018-10-01,2019-09-01,239.6,235.2,1.87074829931972,278.389,86.066619011527,239.6,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2020,"PCU3364133641",12,2019-10-01,2020-09-01,243.5,239.6,1.62771285475793,278.389,87.4675364328332,243.5,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2021,"PCU3364133641",12,2020-10-01,2021-09-01,246.911,243.5,1.40082135523614,278.389,88.6928003620833,246.911,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2022,"PCU3364133641",12,2021-10-01,2022-09-01,257.796,246.911,4.40847106852267,278.389,92.6027968059083,257.796,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2023,"PCU3364133641",12,2022-10-01,2023-09-01,270.998,257.796,5.12110350820028,278.389,97.3450818818272,270.998,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2024,"PCU3364133641",12,2023-10-01,2024-09-01,278.389,270.998,2.72732640093285,278.389,100,278.389,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2025,"PCU3364133641",11,2024-10-01,2025-08-01,289.232454545455,278.389,3.89507291791504,278.389,103.895072917915,289.232454545455,"historical",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2026,NA,NA,NA,NA,296.463265909091,NA,2.5,NA,NA,NA,"user_defined",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2027,NA,NA,NA,NA,303.874847556818,NA,2.5,NA,NA,NA,"user_defined",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2028,NA,NA,NA,NA,311.471718745738,NA,2.5,NA,NA,NA,"user_defined",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2029,NA,NA,NA,NA,319.258511714382,NA,2.5,NA,NA,NA,"user_defined",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
2030,NA,NA,NA,NA,327.239974507241,NA,2.5,NA,NA,NA,"user_defined",NA,NA,2025-09-13,"1.0","KevinJoy","PCU3364133641","Aircraft Manufacturing",2024,"user_defined",2.5
